codgeo,dep,reg,weight_dep,weight_reg,weight_fr
02303,02,32.0,134,11,9
02304,02,32.0,514,44,38
02305,02,32.0,592,51,43
02306,02,32.0,93,8,6
02307,02,32.0,419,36,31
02308,02,32.0,104,9,7
02309,02,32.0,136,11,10
02310,02,32.0,55,4,4
02311,02,32.0,28,2,2
02312,02,32.0,231,20,17
02313,02,32.0,98,8,7
02315,02,32.0,338,29,25
02316,02,32.0,26,2,1
02317,02,32.0,45,3,3
02318,02,32.0,275,23,20
02319,02,32.0,78,6,5
02320,02,32.0,49,4,3
02321,02,32.0,170,14,12
02322,02,32.0,80,6,5
02323,02,32.0,25,2,1
02324,02,32.0,33,2,2
02326,02,32.0,89,7,6
02327,02,32.0,29,2,2
02328,02,32.0,104,9,7
02329,02,32.0,82,7,6
02330,02,32.0,68,5,5
02331,02,32.0,21,1,1
02332,02,32.0,44,3,3
02333,02,32.0,34,2,2
02334,02,32.0,567,49,42
02335,02,32.0,22,1,1
02336,02,32.0,188,16,13
02337,02,32.0,37,3,2
02338,02,32.0,54,4,4
02339,02,32.0,149,12,11
02340,02,32.0,1019,88,75
02341,02,32.0,59,5,4
02342,02,32.0,27,2,2
02343,02,32.0,14,1,1
02345,02,32.0,9,0,0
02346,02,32.0,137,11,10
02347,02,32.0,95,8,7
02349,02,32.0,1,0,0
02350,02,32.0,28,2,2
02351,02,32.0,22,1,1
02352,02,32.0,119,10,8
02353,02,32.0,53,4,3
02354,02,32.0,17,1,1
02355,02,32.0,182,15,13
02356,02,32.0,52,4,3
02357,02,32.0,14,1,1
02358,02,32.0,56,4,4
02359,02,32.0,277,24,20
02360,02,32.0,489,42,36
02361,02,32.0,919,79,68
02362,02,32.0,49,4,3
02363,02,32.0,76,6,5
02364,02,32.0,51,4,3
02366,02,32.0,55,4,4
02367,02,32.0,28,2,2
02368,02,32.0,112,9,8
02369,02,32.0,51,4,3
02370,02,32.0,116,10,8
02371,02,32.0,307,26,22
02372,02,32.0,72,6,5
02373,02,32.0,40,3,3
02374,02,32.0,177,15,13
02375,02,32.0,34,2,2
02376,02,32.0,14,1,1
02377,02,32.0,13,1,1
02378,02,32.0,11,0,0
02379,02,32.0,20,1,1
02380,02,32.0,5,0,0
02381,02,32.0,1717,148,127
02382,02,32.0,277,23,20
02383,02,32.0,296,25,21
02384,02,32.0,2,0,0
02385,02,32.0,11,0,0
02386,02,32.0,49,4,3
02387,02,32.0,205,17,15
02388,02,32.0,48,4,3
02389,02,32.0,114,9,8
02390,02,32.0,53,4,3
02391,02,32.0,38,3,2
02392,02,32.0,48,4,3
02393,02,32.0,29,2,2
02395,02,32.0,31,2,2
02396,02,32.0,3,0,0
02397,02,32.0,216,18,16
02398,02,32.0,39,3,2
02399,02,32.0,93,8,6
02400,02,32.0,12,1,0
02401,02,32.0,18,1,1
02402,02,32.0,1,0,0
02403,02,32.0,51,4,3
02404,02,32.0,36,3,2
02405,02,32.0,104,9,7
02406,02,32.0,29,2,2
02407,02,32.0,34,2,2
02408,02,32.0,4903,424,363
02409,02,32.0,53,4,3
02410,02,32.0,50,4,3
02411,02,32.0,20,1,1
02412,02,32.0,4,0,0
02413,02,32.0,56,4,4
02414,02,32.0,16,1,1
02415,02,32.0,34,2,2
02416,02,32.0,94,8,7
02417,02,32.0,4,0,0
02418,02,32.0,37,3,2
02419,02,32.0,40,3,2
02420,02,32.0,130,11,9
02421,02,32.0,19,1,1
02422,02,32.0,128,11,9
02423,02,32.0,58,5,4
02424,02,32.0,24,2,1
02425,02,32.0,34,2,2
02426,02,32.0,110,9,8
02427,02,32.0,13,1,0
02428,02,32.0,14,1,1
02429,02,32.0,7,0,0
02430,02,32.0,225,19,16
02431,02,32.0,78,6,5
02432,02,32.0,38,3,2
02433,02,32.0,43,3,3
02435,02,32.0,2,0,0
02438,02,32.0,44,3,3
02439,02,32.0,216,18,16
02440,02,32.0,29,2,2
02441,02,32.0,39,3,2
02442,02,32.0,19,1,1
02443,02,32.0,15,1,1
02444,02,32.0,7,0,0
02445,02,32.0,61,5,4
02446,02,32.0,11,0,0
02447,02,32.0,29,2,2
02448,02,32.0,22,1,1
02449,02,32.0,15,1,1
02450,02,32.0,55,4,4
02451,02,32.0,8,0,0
02452,02,32.0,22,1,1
02453,02,32.0,67,5,5
02454,02,32.0,89,7,6
02455,02,32.0,41,3,3
02456,02,32.0,63,5,4
02457,02,32.0,78,6,5
02458,02,32.0,168,14,12
02459,02,32.0,33,2,2
02460,02,32.0,19,1,1
02461,02,32.0,79,6,5
02462,02,32.0,56,4,4
02463,02,32.0,15,1,1
02464,02,32.0,77,6,5
02465,02,32.0,90,7,6
02466,02,32.0,26,2,1
02467,02,32.0,2,0,0
02468,02,32.0,424,36,31
02469,02,32.0,60,5,4
02470,02,32.0,61,5,4
02471,02,32.0,25,2,1
02472,02,32.0,73,6,5
02473,02,32.0,24,2,1
02474,02,32.0,79,6,5
02476,02,32.0,96,8,7
02477,02,32.0,192,16,14
02478,02,32.0,51,4,3
02480,02,32.0,65,5,4
02481,02,32.0,63,5,4
02482,02,32.0,10,0,0
02483,02,32.0,80,6,5
02484,02,32.0,89,7,6
02485,02,32.0,19,1,1
02486,02,32.0,25,2,1
02487,02,32.0,110,9,8
02488,02,32.0,28,2,2
02489,02,32.0,59,5,4
02490,02,32.0,29,2,2
02491,02,32.0,53,4,3
02492,02,32.0,86,7,6
02493,02,32.0,20,1,1
02494,02,32.0,25,2,1
02495,02,32.0,173,14,12
02496,02,32.0,5,0,0
02497,02,32.0,237,20,17
02498,02,32.0,158,13,11
02499,02,32.0,8,0,0
02500,02,32.0,169,14,12
02501,02,32.0,4,0,0
02502,02,32.0,275,23,20
02503,02,32.0,172,14,12
02504,02,32.0,316,27,23
02505,02,32.0,44,3,3
02506,02,32.0,40,3,2
02507,02,32.0,6,0,0
02508,02,32.0,32,2,2
02509,02,32.0,31,2,2
02510,02,32.0,30,2,2
02511,02,32.0,61,5,4
02512,02,32.0,55,4,4
02513,02,32.0,27,2,2
02514,02,32.0,112,9,8
02515,02,32.0,0,0,0
02516,02,32.0,2,0,0
02517,02,32.0,60,5,4
02518,02,32.0,37,3,2
02519,02,32.0,35,3,2
02520,02,32.0,153,13,11
02521,02,32.0,276,23,20
02522,02,32.0,2,0,0
02523,02,32.0,5,0,0
02524,02,32.0,142,12,10
02525,02,32.0,115,9,8
02526,02,32.0,4,0,0
02527,02,32.0,64,5,4
02528,02,32.0,48,4,3
02529,02,32.0,37,3,2
02530,02,32.0,4,0,0
02531,02,32.0,24,2,1
02532,02,32.0,161,14,12
