codgeo,dep,reg,weight_dep,weight_reg,weight_fr
02063,02,32.0,77,6,5
02064,02,32.0,775,66,56
02065,02,32.0,122,10,8
02066,02,32.0,21,1,1
02067,02,32.0,41,3,3
02068,02,32.0,23,2,1
02069,02,32.0,20,1,1
02070,02,32.0,74,6,5
02071,02,32.0,132,11,9
02072,02,32.0,36,3,2
02073,02,32.0,120,10,8
02074,02,32.0,98,8,7
02075,02,32.0,39,3,2
02076,02,32.0,27,2,2
02077,02,32.0,77,6,5
02078,02,32.0,10,0,0
02079,02,32.0,30,2,2
02080,02,32.0,54,4,3
02081,02,32.0,81,7,5
02082,02,32.0,6,0,0
02083,02,32.0,106,9,7
02084,02,32.0,48,4,3
02085,02,32.0,197,17,14
02086,02,32.0,196,16,14
02087,02,32.0,0,0,0
02088,02,32.0,17,1,1
02089,02,32.0,229,19,16
02090,02,32.0,44,3,3
02091,02,32.0,20,1,1
02093,02,32.0,222,19,16
02094,02,32.0,59,5,4
02095,02,32.0,1135,97,83
02096,02,32.0,41,3,3
02097,02,32.0,48,4,3
02098,02,32.0,72,6,5
02099,02,32.0,44,3,3
02100,02,32.0,23,2,1
02101,02,32.0,42,3,3
02102,02,32.0,35,3,2
02103,02,32.0,268,23,19
02104,02,32.0,20,1,1
02105,02,32.0,39,3,2
02106,02,32.0,155,13,11
02107,02,32.0,4,0,0
02108,02,32.0,10,0,0
02109,02,32.0,76,6,5
02110,02,32.0,457,39,33
02111,02,32.0,108,9,7
02112,02,32.0,120,10,8
02114,02,32.0,277,23,20
02115,02,32.0,35,3,2
02116,02,32.0,27,2,2
02117,02,32.0,13,1,0
02118,02,32.0,23,2,1
02119,02,32.0,48,4,3
02120,02,32.0,14,1,1
02121,02,32.0,44,3,3
02122,02,32.0,1,0,0
02123,02,32.0,30,2,2
02124,02,32.0,122,10,8
02125,02,32.0,20,1,1
02126,02,32.0,90,7,6
02127,02,32.0,17,1,1
02128,02,32.0,296,25,21
02129,02,32.0,3,0,0
02130,02,32.0,15,1,1
02131,02,32.0,364,31,26
02132,02,32.0,39,3,2
02133,02,32.0,85,7,6
