DEPCOM;DEP;REG;PTOT;weight_fr;weight_reg;weight_dep
002467;002;32;51;1;1;1
002468;002;32;2305;4;38;43
002469;002;32;490;1;9;9
002470;002;32;446;1;8;9
002471;002;32;126;1;3;3
002472;002;32;424;1;7;8
002473;002;32;212;1;4;4
002474;002;32;412;1;7;8
002476;002;32;663;1;11;13
002477;002;32;983;2;17;18
002478;002;32;267;1;5;5
002480;002;32;307;1;6;6
002481;002;32;492;1;9;10
002482;002;32;52;1;1;1
002483;002;32;524;1;9;10
002484;002;32;525;1;9;10
002485;002;32;100;1;2;2
002486;002;32;109;1;2;2
002487;002;32;658;1;11;13
002488;002;32;153;1;3;3
002489;002;32;337;1;6;7
002490;002;32;138;1;3;3
002491;002;32;328;1;6;7
002492;002;32;480;1;8;9
002493;002;32;226;1;4;5
002494;002;32;130;1;3;3
002495;002;32;1055;2;18;20
002496;002;32;104;1;2;2
002497;002;32;1180;2;20;22
002498;002;32;771;2;13;15
002499;002;32;46;1;1;1
002500;002;32;829;2;14;16
002501;002;32;86;1;2;2
002502;002;32;1347;2;23;25
002503;002;32;851;2;14;16
002504;002;32;1679;3;28;31
002505;002;32;208;1;4;4
002506;002;32;199;1;4;4
002507;002;32;33;1;1;1
002508;002;32;158;1;3;3
002509;002;32;165;1;3;4
002510;002;32;153;1;3;3
002511;002;32;295;1;5;6
002512;002;32;279;1;5;6
002513;002;32;144;1;3;3
002514;002;32;718;2;12;14
002515;002;32;65;1;2;2
002516;002;32;64;1;2;2
002517;002;32;320;1;6;6
002518;002;32;304;1;5;6
002519;002;32;191;1;4;4
002520;002;32;743;2;13;14
002521;002;32;1383;3;23;26
002522;002;32;77;1;2;2
002523;002;32;76;1;2;2
002524;002;32;714;2;12;14
002525;002;32;588;1;10;11
002526;002;32;92;1;2;2
002527;002;32;453;1;8;9
002528;002;32;238;1;4;5
002529;002;32;188;1;4;4
002530;002;32;77;1;2;2
002531;002;32;124;1;3;3
002532;002;32;993;2;17;19
002533;002;32;127;1;3;3
002534;002;32;53;1;1;1
002535;002;32;122;1;3;3
