age,reg,weight_reg
56,93.0,111
56,94.0,8
57,1.0,41
57,11.0,244
57,24.0,58
57,27.0,62
57,28.0,75
57,32.0,128
57,44.0,128
57,52.0,80
57,53.0,75
57,75.0,134
57,76.0,125
57,84.0,167
57,93.0,109
57,94.0,8
58,1.0,39
58,11.0,238
58,24.0,58
58,27.0,62
58,28.0,76
58,32.0,128
58,44.0,125
58,52.0,80
58,53.0,75
58,75.0,132
58,76.0,122
58,84.0,164
58,93.0,107
58,94.0,8
59,1.0,38
59,11.0,230
59,24.0,58
59,27.0,63
59,28.0,74
59,32.0,124
59,44.0,125
59,52.0,80
59,53.0,74
59,75.0,132
59,76.0,122
59,84.0,162
59,93.0,107
59,94.0,8
60,1.0,37
60,11.0,221
60,24.0,56
60,27.0,62
60,28.0,73
60,32.0,124
60,44.0,123
60,52.0,79
60,53.0,74
60,75.0,134
60,76.0,123
60,84.0,158
60,93.0,104
60,94.0,7
61,1.0,36
61,11.0,211
61,24.0,56
61,27.0,62
61,28.0,73
61,32.0,120
61,44.0,121
61,52.0,78
61,53.0,73
61,75.0,133
61,76.0,123
61,84.0,157
61,93.0,105
61,94.0,8
62,1.0,33
62,11.0,208
62,24.0,57
62,27.0,63
62,28.0,74
62,32.0,120
62,44.0,120
62,52.0,77
62,53.0,73
62,75.0,134
62,76.0,123
62,84.0,155
62,93.0,106
62,94.0,8
63,1.0,34
63,11.0,204
63,24.0,58
63,27.0,64
63,28.0,73
63,32.0,119
63,44.0,119
63,52.0,79
63,53.0,74
63,75.0,136
63,76.0,124
63,84.0,157
63,93.0,105
63,94.0,7
64,1.0,31
64,11.0,198
64,24.0,57
64,27.0,63
64,28.0,73
64,32.0,118
64,44.0,119
64,52.0,78
64,53.0,74
64,75.0,136
64,76.0,128
64,84.0,155
64,93.0,105
64,94.0,8
65,1.0,30
65,11.0,193
65,24.0,56
65,27.0,64
65,28.0,72
65,32.0,116
65,44.0,117
65,52.0,79
65,53.0,75
65,75.0,138
65,76.0,125
65,84.0,155
65,93.0,106
65,94.0,8
66,1.0,28
66,11.0,191
66,24.0,57
66,27.0,64
66,28.0,72
66,32.0,114
66,44.0,113
66,52.0,77
66,53.0,75
66,75.0,138
66,76.0,124
66,84.0,153
66,93.0,106
66,94.0,8
67,1.0,27
67,11.0,188
67,24.0,57
67,27.0,62
67,28.0,70
67,32.0,113
67,44.0,111
67,52.0,77
67,53.0,72
67,75.0,137
67,76.0,126
67,84.0,151
67,93.0,108
67,94.0,8
68,1.0,25
68,11.0,175
68,24.0,53
68,27.0,58
68,28.0,65
68,32.0,102
68,44.0,102
68,52.0,71
68,53.0,67
68,75.0,125
68,76.0,118
68,84.0,145
68,93.0,103
68,94.0,7
69,1.0,24
69,11.0,162
69,24.0,48
69,27.0,54
69,28.0,59
69,32.0,93
69,44.0,92
69,52.0,64
69,53.0,61
69,75.0,116
69,76.0,109
69,84.0,135
69,93.0,99
69,94.0,7
70,1.0,22
70,11.0,147
70,24.0,43
70,27.0,49
70,28.0,52
70,32.0,81
70,44.0,81
70,52.0,58
70,53.0,55
70,75.0,106
70,76.0,101
70,84.0,124
70,93.0,90
70,94.0,6
71,1.0,20
71,11.0,135
71,24.0,40
71,27.0,43
71,28.0,46
71,32.0,71
71,44.0,74
71,52.0,50
71,53.0,49
71,75.0,94
71,76.0,93
71,84.0,112
71,93.0,84
71,94.0,6
72,1.0,19
72,11.0,119
72,24.0,34
72,27.0,38
72,28.0,40
72,32.0,57
72,44.0,65
72,52.0,44
72,53.0,43
72,75.0,84
72,76.0,83
72,84.0,100
72,93.0,78
72,94.0,5
73,1.0,17
73,11.0,111
73,24.0,32
73,27.0,36
73,28.0,37
73,32.0,54
73,44.0,63
73,52.0,43
73,53.0,40
73,75.0,80
73,76.0,78
73,84.0,96
73,93.0,75
73,94.0,6
74,1.0,17
74,11.0,104
74,24.0,31
74,27.0,35
74,28.0,36
74,32.0,52
74,44.0,62
74,52.0,42
74,53.0,39
74,75.0,77
74,76.0,75
74,84.0,91
74,93.0,70
74,94.0,5
75,1.0,16
75,11.0,99
75,24.0,30
75,27.0,34
75,28.0,36
75,32.0,50
75,44.0,60
75,52.0,40
75,53.0,37
75,75.0,73
75,76.0,69
75,84.0,85
75,93.0,67
75,94.0,6
76,1.0,14
76,11.0,95
76,24.0,30
76,27.0,32
76,28.0,34
76,32.0,49
76,44.0,59
76,52.0,38
76,53.0,37
76,75.0,70
76,76.0,67
76,84.0,80
76,93.0,63
76,94.0,5
77,1.0,15
77,11.0,92
77,24.0,29
77,27.0,32
77,28.0,34
77,32.0,51
77,44.0,57
77,52.0,39
77,53.0,38
77,75.0,70
77,76.0,65
77,84.0,80
77,93.0,60
77,94.0,5
78,1.0,13
78,11.0,87
78,24.0,29
78,27.0,31
78,28.0,34
78,32.0,48
78,44.0,55
78,52.0,39
78,53.0,37
78,75.0,69
78,76.0,63
78,84.0,77
78,93.0,59
78,94.0,5
79,1.0,13
79,11.0,83
79,24.0,28
79,27.0,29
79,28.0,33
79,32.0,45
79,44.0,51
79,52.0,37
79,53.0,35
79,75.0,66
79,76.0,61
79,84.0,71
79,93.0,57
79,94.0,4
80,1.0,11
80,11.0,80
80,24.0,27
80,27.0,28
80,28.0,30
80,32.0,43
80,44.0,49
80,52.0,35
80,53.0,33
80,75.0,63
80,76.0,59
80,84.0,69
80,93.0,53
80,94.0,4
81,1.0,10
81,11.0,74
81,24.0,26
81,27.0,26
81,28.0,28
81,32.0,40
81,44.0,45
81,52.0,34
81,53.0,31
81,75.0,61
81,76.0,57
81,84.0,67
81,93.0,51
81,94.0,4
82,1.0,9
82,11.0,66
82,24.0,24
82,27.0,25
82,28.0,27
82,32.0,38
82,44.0,42
82,52.0,32
82,53.0,28
82,75.0,58
82,76.0,53
82,84.0,60
82,93.0,48
82,94.0,4
83,1.0,8
83,11.0,64
83,24.0,22
83,27.0,23
83,28.0,25
83,32.0,35
83,44.0,39
83,52.0,29
83,53.0,28
83,75.0,54
83,76.0,50
83,84.0,56
83,93.0,44
83,94.0,3
84,1.0,7
84,11.0,60
84,24.0,20
84,27.0,21
84,28.0,23
84,32.0,32
84,44.0,36
84,52.0,26
84,53.0,24
84,75.0,49
84,76.0,46
84,84.0,51
84,93.0,41
84,94.0,3
85,1.0,6
85,11.0,51
85,24.0,19
85,27.0,14
85,28.0,15
85,32.0,21
85,44.0,23
85,52.0,18
85,53.0,17
85,75.0,34
85,76.0,32
85,84.0,35
85,93.0,28
85,94.0,2
86,1.0,4
86,11.0,34
86,24.0,13
86,27.0,13
86,28.0,14
86,32.0,19
86,44.0,21
86,52.0,16
86,53.0,14
86,75.0,29
86,76.0,28
86,84.0,31
86,93.0,24
86,94.0,2
87,1.0,4
87,11.0,30
87,24.0,11
87,27.0,11
87,28.0,12
87,32.0,16
87,44.0,18
87,52.0,14
87,53.0,12
87,75.0,26
87,76.0,24
87,84.0,26
87,93.0,22
87,94.0,2
88,1.0,3
88,11.0,26
88,24.0,10
88,27.0,9
88,28.0,10
88,32.0,13
88,44.0,14
88,52.0,12
88,53.0,10
88,75.0,22
88,76.0,20
88,84.0,22
88,93.0,19
88,94.0,2
89,1.0,3
89,11.0,22
89,24.0,8
89,27.0,8
89,28.0,8
89,32.0,11
89,44.0,11
89,52.0,10
89,53.0,9
89,75.0,19
89,76.0,17
89,84.0,19
89,93.0,15
89,94.0,1
90,1.0,3
90,11.0,18
90,24.0,7
90,27.0,6
90,28.0,7
90,32.0,9
90,44.0,10
90,52.0,9
90,53.0,7
90,75.0,15
90,76.0,14
90,84.0,16
90,93.0,13
90,94.0,1
91,1.0,2
91,11.0,14
91,24.0,6
91,27.0,5
91,28.0,6
91,32.0,7
91,44.0,8
91,52.0,7
91,53.0,6
91,75.0,13
91,76.0,12
91,84.0,13
91,93.0,10
91,94.0,1
92,1.0,2
92,11.0,11
92,24.0,4
92,27.0,5
92,28.0,5
92,32.0,6
92,44.0,6
92,52.0,6
92,53.0,5
92,75.0,11
92,76.0,10
92,84.0,10
92,93.0,9
92,94.0,1
93,1.0,1
93,11.0,9
93,24.0,4
93,27.0,4
93,28.0,3
93,32.0,4
93,44.0,5
93,52.0,4
93,53.0,4
93,75.0,8
93,76.0,7
93,84.0,8
93,93.0,6
93,94.0,1
94,1.0,1
94,11.0,7
94,24.0,3
94,27.0,3
94,28.0,3
94,32.0,3
94,44.0,3
94,52.0,3
94,53.0,3
94,75.0,6
94,76.0,5
94,84.0,5
94,93.0,5
94,94.0,1
95,1.0,1
95,11.0,5
95,24.0,2
95,27.0,2
95,28.0,2
95,32.0,2
95,44.0,2
95,52.0,2
95,53.0,2
95,75.0,4
95,76.0,3
95,84.0,4
95,93.0,3
95,94.0,1
96,1.0,1
96,11.0,3
96,24.0,1
96,27.0,1
96,28.0,1
96,32.0,1
96,44.0,1
96,52.0,1
96,53.0,1
96,75.0,2
96,76.0,2
96,84.0,2
96,93.0,2
96,94.0,1
97,1.0,1
97,11.0,2
97,24.0,1
97,27.0,1
97,28.0,1
97,32.0,1
97,44.0,1
97,52.0,1
97,53.0,1
97,75.0,2
97,76.0,1
97,84.0,2
97,93.0,1
97,94.0,1
98,1.0,1
98,11.0,1
98,24.0,1
98,27.0,1
98,28.0,1
98,32.0,1
98,44.0,1
98,52.0,1
98,53.0,1
98,75.0,1
98,76.0,1
98,84.0,1
98,93.0,1
98,94.0,1
99,1.0,1
99,11.0,1
99,24.0,1
99,27.0,1
99,28.0,1
99,32.0,1
99,44.0,1
99,52.0,1
99,53.0,1
99,75.0,1
99,76.0,1
99,84.0,1
99,93.0,1
99,94.0,1
100,1.0,1
100,11.0,2
100,24.0,1
100,27.0,1
100,28.0,1
100,32.0,1
100,44.0,1
100,52.0,1
100,53.0,1
100,75.0,2
100,76.0,1
100,84.0,2
100,93.0,1
100,94.0,1
