cim10;init;gpe;charls
E6629;;obesity;
E668;;obesity;
E6680;;obesity;
E6681;;obesity;
E6682;;obesity;
E6683;;obesity;
E6684;;obesity;
E6685;;obesity;
E6686;;obesity;
E6687;;obesity;
E6689;;obesity;
E669;;obesity;
E6690;;obesity;
E6691;;obesity;
E6692;;obesity;
E6693;;obesity;
E6694;;obesity;
E6695;;obesity;
E6696;;obesity;
E6697;;obesity;
E6699;;obesity;
F00;;dem;dem
F000;;dem;dem
F0000;;dem;dem
F00000;;dem;dem
F00001;;dem;dem
F00002;;dem;dem
F0001;;dem;dem
F00010;;dem;dem
F00011;;dem;dem
F00012;;dem;dem
F0002;;dem;dem
F00020;;dem;dem
F00021;;dem;dem
F00022;;dem;dem
F0003;;dem;dem
F00030;;dem;dem
F00031;;dem;dem
F00032;;dem;dem
F0004;;dem;dem
F00040;;dem;dem
F00041;;dem;dem
F00042;;dem;dem
F001;;dem;dem
F0010;;dem;dem
F00100;;dem;dem
F00101;;dem;dem
F00102;;dem;dem
F0011;;dem;dem
F00110;;dem;dem
F00111;;dem;dem
F00112;;dem;dem
F0012;;dem;dem
F00120;;dem;dem
F00121;;dem;dem
F00122;;dem;dem
F0013;;dem;dem
F00130;;dem;dem
F00131;;dem;dem
F00132;;dem;dem
F0014;;dem;dem
F00140;;dem;dem
F00141;;dem;dem
F00142;;dem;dem
F002;;dem;dem
F0020;;dem;dem
F00200;;dem;dem
F00201;;dem;dem
F00202;;dem;dem
F0021;;dem;dem
F00210;;dem;dem
F00211;;dem;dem
F00212;;dem;dem
F0022;;dem;dem
F00220;;dem;dem
F00221;;dem;dem
F00222;;dem;dem
F0023;;dem;dem
F00230;;dem;dem
F00231;;dem;dem
F00232;;dem;dem
F0024;;dem;dem
F00240;;dem;dem
F00241;;dem;dem
F00242;;dem;dem
F009;;dem;dem
F0090;;dem;dem
F00900;;dem;dem
F00901;;dem;dem
F00902;;dem;dem
F0091;;dem;dem
F00910;;dem;dem
F00911;;dem;dem
F00912;;dem;dem
F0092;;dem;dem
F00920;;dem;dem
F00921;;dem;dem
F00922;;dem;dem
F0093;;dem;dem
F00930;;dem;dem
F00931;;dem;dem
F00932;;dem;dem
F0094;;dem;dem
F00940;;dem;dem
F00941;;dem;dem
F00942;;dem;dem
F01;;dem;dem
F010;;dem;dem
F0100;;dem;dem
F01000;;dem;dem
F01001;;dem;dem
F01002;;dem;dem
F0101;;dem;dem
F01010;;dem;dem
F01011;;dem;dem
F01012;;dem;dem
F0102;;dem;dem
F01020;;dem;dem
F01021;;dem;dem
F01022;;dem;dem
F0103;;dem;dem
F01030;;dem;dem
F01031;;dem;dem
F01032;;dem;dem
F0104;;dem;dem
F01040;;dem;dem
F01041;;dem;dem
F01042;;dem;dem
F011;;dem;dem
F0110;;dem;dem
F01100;;dem;dem
F01101;;dem;dem
F01102;;dem;dem
F0111;;dem;dem
F01110;;dem;dem
F01111;;dem;dem
F01112;;dem;dem
F0112;;dem;dem
F01120;;dem;dem
F01121;;dem;dem
F01122;;dem;dem
F0113;;dem;dem
F01130;;dem;dem
F01131;;dem;dem
F01132;;dem;dem
F0114;;dem;dem
F01140;;dem;dem
F01141;;dem;dem
F01142;;dem;dem
F012;;dem;dem
F0120;;dem;dem
F01200;;dem;dem
F01201;;dem;dem
F01202;;dem;dem
F0121;;dem;dem
F01210;;dem;dem
F01211;;dem;dem
F01212;;dem;dem
F0122;;dem;dem
F01220;;dem;dem
F01221;;dem;dem
F01222;;dem;dem
F0123;;dem;dem
F01230;;dem;dem
F01231;;dem;dem
F01232;;dem;dem
F0124;;dem;dem
F01240;;dem;dem
F01241;;dem;dem
